Alias	Original Name
threeforcechu	Pikachu (Beach Walk)
beachpikachu	Pikachu (Beach Walk)
beach pikachu	Pikachu (Beach Walk)
beachwalkchu	Pikachu (Beach Walk)
pikachu charizard costume	Pikachu (Charizard Costume)
pikachucharizardcostume	Pikachu (Charizard Costume)
charizardpikachu	Pikachu (Charizard Costume)
charizardchu	Pikachu (Charizard Costume)
charizard pikachu	Pikachu (Charizard Costume)
pikachu charizard	Pikachu (Charizard Costume)
pikachucharizard	Pikachu (Charizard Costume)
zardchu	Pikachu (Charizard Costume)
charchu	Pikachu (Charizard Costume)
pikachu childrens day	Pikachu (Children's Day)
pikachuchildrensday	Pikachu (Children's Day)
childrens day pikachu	Pikachu (Children's Day)
childrensdaypikachu	Pikachu (Children's Day)
prankchu	Pikachu (Children's Day)
children pikachu	Pikachu (Children's Day)
childrenpikachu	Pikachu (Children's Day)
childrenchu	Pikachu (Children's Day)
pikachu dejected	Pikachu (Dejected)
dejected pikachu	Pikachu (Dejected)
dejectedchu	Pikachu (Dejected)
pikachu disappointed	Pikachu (Disappointed)
disappointed pikachu	Pikachu (Disappointed)
disappointedchu	Pikachu (Disappointed)
dizzychu	Pikachu (Dizzy)
dizzy pikachu	Pikachu (Dizzy)
dizzypikachu	Pikachu (Dizzy)
pikachu dizzy	Pikachu (Dizzy)
pikachudizzy	Pikachu (Dizzy)
heartchu	Pikachu (Enamored)
lovechu	Pikachu (Enamored)
pikachu enamored	Pikachu (Enamored)
pikachuenamored	Pikachu (Enamored)
enamored pikachu	Pikachu (Enamored)
enamoredpikachu	Pikachu (Enamored)
enamoredchu	Pikachu (Enamored)
valentinechu	Pikachu (Enamored)
pikachu fired up	Pikachu (Fired Up)
pikachufiredup	Pikachu (Fired Up)
fired up pikachu	Pikachu (Fired Up)
fireduppikachu	Pikachu (Fired Up)
firedchu	Pikachu (Fired Up)
fired pikachu	Pikachu (Fired Up)
firedpikachu	Pikachu (Fired Up)
firedupchu	Pikachu (Fired Up)
graduatepikachu	Pikachu (Graduate)
graduate pikachu	Pikachu (Graduate)
pikachu graduate	Pikachu (Graduate)
graduatechu	Pikachu (Graduate)
pikachugraduate	Pikachu (Graduate)
fechu	Pikachu (Graduate)
gyaradospikachu	Pikachu (Gyarados Costume)
gyaradoschu	Pikachu (Gyarados Costume)
pikachu gyarados costume	Pikachu (Gyarados Costume)
pikachugyaradoscostume	Pikachu (Gyarados Costume)
gyarados pikachu	Pikachu (Gyarados Costume)
pikachu gyarados	Pikachu (Gyarados Costume)
pikachugyarados	Pikachu (Gyarados Costume)
gyarachu	Pikachu (Gyarados Costume)
happychu	Pikachu (Happy)
happy pikachu	Pikachu (Happy)
happypikachu	Pikachu (Happy)
pikachu happy	Pikachu (Happy)
pikachuhappy	Pikachu (Happy)
hoohchu	Pikachu (Ho-Oh Costume)
pikachu ho-oh costume	Pikachu (Ho-Oh Costume)
pikachuhoohcostume	Pikachu (Ho-Oh Costume)
ho-oh pikachu	Pikachu (Ho-Oh Costume)
hoohpikachu	Pikachu (Ho-Oh Costume)
pikachu ho-oh	Pikachu (Ho-Oh Costume)
pikachuhooh	Pikachu (Ho-Oh Costume)
ho-ohpikachu	Pikachu (Ho-Oh Costume)
pikachuho-oh	Pikachu (Ho-Oh Costume)
ho-ohchu	Pikachu (Ho-Oh Costume)
pikachu ho oh	Pikachu (Ho-Oh Costume)
ho oh pikachu	Pikachu (Ho-Oh Costume)
Hoennchu	Pikachu (Hoenn Cap)
hoenncappikachu	Pikachu (Hoenn Cap)
hoenn cap pikachu	Pikachu (Hoenn Cap)
pikachu hoenn cap	Pikachu (Hoenn Cap)
hoenn capchu	Pikachu (Hoenn Cap)
hoenncapchu	Pikachu (Hoenn Cap)
pikachuhoenncap	Pikachu (Hoenn Cap)
holidaychu	Pikachu (Holiday)
holiday pikachu	Pikachu (Holiday)
holidaypikachu	Pikachu (Holiday)
pikachu holiday	Pikachu (Holiday)
pikachuholiday	Pikachu (Holiday)
pikachu intern	Pikachu (Intern)
intern pikachu	Pikachu (Intern)
internpikachu	Pikachu (Intern)
internchu	Pikachu (Intern)
pikachuintern	Pikachu (Intern)
vdchu	Pikachu (Intern)
kaloschu	Pikachu (Kalos Cap)
kaloscappikachu	Pikachu (Kalos Cap)
kalos cap pikachu	Pikachu (Kalos Cap)
pikachu kalos cap	Pikachu (Kalos Cap)
kaloscapchu	Pikachu (Kalos Cap)
kalos capchu	Pikachu (Kalos Cap)
pikachukaloscap	Pikachu (Kalos Cap)
kimonoboychu	Pikachu (Kimono Boy)
pikachu kimono boy	Pikachu (Kimono Boy)
pikachukimonoboy	Pikachu (Kimono Boy)
kimono boy pikachu	Pikachu (Kimono Boy)
kimonoboypikachu	Pikachu (Kimono Boy)
kimonogirlchu	Pikachu (Kimono Girl)
pikachu kimono girl	Pikachu (Kimono Girl)
pikachukimonogirl	Pikachu (Kimono Girl)
kimono girl pikachu	Pikachu (Kimono Girl)
kimonogirlpikachu	Pikachu (Kimono Girl)
kotatsuchu	Pikachu (Kotatsu)
pikachu kotatsu	Pikachu (Kotatsu)
kotatsu pikachu	Pikachu (Kotatsu)
pikachukotatsu	Pikachu (Kotatsu)
kotatsupikachu	Pikachu (Kotatsu)
napchu	Pikachu (Kotatsu)
nappingchu	Pikachu (Kotatsu)
napping pikachu	Pikachu (Kotatsu)
pikachu napping	Pikachu (Kotatsu)
pikachu lion dancer	Pikachu (Lion Dancer)
pikachuliondancer	Pikachu (Lion Dancer)
lion dancer pikachu	Pikachu (Lion Dancer)
liondancerpikachu	Pikachu (Lion Dancer)
enteichu	Pikachu (Lion Dancer)
liondancechu	Pikachu (Lion Dancer)
lugiachu	Pikachu (Lugia Costume)
pikachu lugia costume	Pikachu (Lugia Costume)
pikachulugiacostume	Pikachu (Lugia Costume)
lugia pikachu	Pikachu (Lugia Costume)
lugiapikachu	Pikachu (Lugia Costume)
pikachu lugia	Pikachu (Lugia Costume)
pikachulugia	Pikachu (Lugia Costume)
magikarppikachu	Pikachu (Magikarp Costume)
karpchu	Pikachu (Magikarp Costume)
magikarpchu	Pikachu (Magikarp Costume)
magikarp pikachu	Pikachu (Magikarp Costume)
pikachu magikarp costume	Pikachu (Magikarp Costume)
pikachumagikarpcostume	Pikachu (Magikarp Costume)
pikachu magikarp	Pikachu (Magikarp Costume)
pikachumagikarp	Pikachu (Magikarp Costume)
pikachu mushroom harvest	Pikachu (Mushroom Harvest)
pikachumushroomharvest	Pikachu (Mushroom Harvest)
mushroom harvest pikachu	Pikachu (Mushroom Harvest)
mushroomharvestpikachu	Pikachu (Mushroom Harvest)
harvestchu	Pikachu (Mushroom Harvest)
harvest pikachu	Pikachu (Mushroom Harvest)
harvestpikachu	Pikachu (Mushroom Harvest)
originalchu	Pikachu (Original Cap)
originalcappikachu	Pikachu (Original Cap)
original cap pikachu	Pikachu (Original Cap)
pikachu original cap	Pikachu (Original Cap)
originalcapchu	Pikachu (Original Cap)
original capchu	Pikachu (Original Cap)
pikachuoriginalcap	Pikachu (Original Cap)
pikachu pastry chef	Pikachu (Pastry Chef)
pikachupastrychef	Pikachu (Pastry Chef)
pastrychefpikachu	Pikachu (Pastry Chef)
pastry chef pikachu	Pikachu (Pastry Chef)
chefchu	Pikachu (Pastry Chef)
pastrychefchu	Pikachu (Pastry Chef)
raincoatpikachu	Pikachu (Rainy Season)
raincoatchu	Pikachu (Rainy Season)
raincoat pikachu	Pikachu (Rainy Season)
pikachu rainy season	Pikachu (Rainy Season)
pikachuraincoat	Pikachu (Rainy Season)
pikachurainyseason	Pikachu (Rainy Season)
pikachu raincoat	Pikachu (Rainy Season)
raychu	Pikachu (Rayquaza Costume)
rayquazachu	Pikachu (Rayquaza Costume)
pikachu rayquaza costume	Pikachu (Rayquaza Costume)
pikachurayquazacostume	Pikachu (Rayquaza Costume)
raypikachu	Pikachu (Rayquaza Costume)
ray pikachu	Pikachu (Rayquaza Costume)
rayquaza pikachu	Pikachu (Rayquaza Costume)
rayquazapikachu	Pikachu (Rayquaza Costume)
pikachu rayquaza	Pikachu (Rayquaza Costume)
pikachurayquaza	Pikachu (Rayquaza Costume)
pikachuray	Pikachu (Rayquaza Costume)
pikachu ray	Pikachu (Rayquaza Costume)
sgyarachu	Pikachu (Shiny Gyarados Costume)
sgyaradoschu	Pikachu (Shiny Gyarados Costume)
shinygyaradoschu	Pikachu (Shiny Gyarados Costume)
pikachu shiny gyarados costume	Pikachu (Shiny Gyarados Costume)
pikachushinygyaradoscostume	Pikachu (Shiny Gyarados Costume)
sgyaradospikachu	Pikachu (Shiny Gyarados Costume)
s gyarados pikachu	Pikachu (Shiny Gyarados Costume)
pikachu shiny gyarados	Pikachu (Shiny Gyarados Costume)
shiny gyarados pikachu	Pikachu (Shiny Gyarados Costume)
pikachushinygyarados	Pikachu (Shiny Gyarados Costume)
shinygyaradospikachu	Pikachu (Shiny Gyarados Costume)
pikachu s gyarados	Pikachu (Shiny Gyarados Costume)
pikachusgyarados	Pikachu (Shiny Gyarados Costume)
sraychu	Pikachu (Shiny Rayquaza Costume)
srayquazachu	Pikachu (Shiny Rayquaza Costume)
shinyrayquazachu	Pikachu (Shiny Rayquaza Costume)
shinyraychu	Pikachu (Shiny Rayquaza Costume)
pikachu shiny rayquaza costume	Pikachu (Shiny Rayquaza Costume)
pikachushinyrayquazacostume	Pikachu (Shiny Rayquaza Costume)
shiny rayquaza pikachu	Pikachu (Shiny Rayquaza Costume)
shinyrayquazapikachu	Pikachu (Shiny Rayquaza Costume)
pikachu shiny rayquaza	Pikachu (Shiny Rayquaza Costume)
pikachushinyrayquaza	Pikachu (Shiny Rayquaza Costume)
sraypikachu	Pikachu (Shiny Rayquaza Costume)
s ray pikachu	Pikachu (Shiny Rayquaza Costume)
srayquazapikachu	Pikachu (Shiny Rayquaza Costume)
s rayquaza pikachu	Pikachu (Shiny Rayquaza Costume)
pikachu s rayquaza	Pikachu (Shiny Rayquaza Costume)
pikachusrayquaza	Pikachu (Shiny Rayquaza Costume)
pikachu s ray	Pikachu (Shiny Rayquaza Costume)
pikachusray	Pikachu (Shiny Rayquaza Costume)
shiny ray pikachu	Pikachu (Shiny Rayquaza Costume)
shinyraypikachu	Pikachu (Shiny Rayquaza Costume)
pikachu shiny ray	Pikachu (Shiny Rayquaza Costume)
pikachushinyray	Pikachu (Shiny Rayquaza Costume)
Sinnohchu	Pikachu (Sinnoh Cap)
pikachu sinnoh cap	Pikachu (Sinnoh Cap)
sinnohcappikachu	Pikachu (Sinnoh Cap)
sinnoh cap pikachu	Pikachu (Sinnoh Cap)
sinnohcapchu	Pikachu (Sinnoh Cap)
sinnoh capchu	Pikachu (Sinnoh Cap)
pikachusinnohcap	Pikachu (Sinnoh Cap)
sleepychu	Pikachu (Sleeping)
sleepchu	Pikachu (Sleeping)
sleepingpikachu	Pikachu (Sleeping)
sleeping pikachu	Pikachu (Sleeping)
pikachu sleeping	Pikachu (Sleeping)
sleepypikachu	Pikachu (Sleeping)
sleepy pikachu	Pikachu (Sleeping)
pikachusleepy	Pikachu (Sleeping)
pikachu sleepy	Pikachu (Sleeping)
pikachusleeping	Pikachu (Sleeping)
smilingchu	Pikachu (Smiling)
smiling pikachu	Pikachu (Smiling)
smilingpikachu	Pikachu (Smiling)
pikachu smiling	Pikachu (Smiling)
pikachusmiling	Pikachu (Smiling)
spooky pikachu	Pikachu (Spooky)
spookypikachu	Pikachu (Spooky)
pikachu spooky	Pikachu (Spooky)
spookychu	Pikachu (Spooky)
sp pikachu	Pikachu (Spooky)
sppikachu	Pikachu (Spooky)
pikachu sp	Pikachu (Spooky)
pikachusp	Pikachu (Spooky)
pikachuspooky	Pikachu (Spooky)
pikachu summer festival	Pikachu (Summer Festival)
pikachusummerfestival	Pikachu (Summer Festival)
summer festival pikachu	Pikachu (Summer Festival)
summerfestivalpikachu	Pikachu (Summer Festival)
summerfestivalchu	Pikachu (Summer Festival)
pikachu surprised	Pikachu (Surprised)
surprised pikachu	Pikachu (Surprised)
surprisedpikachu	Pikachu (Surprised)
surprisedchu	Pikachu (Surprised)
surprisechu	Pikachu (Surprised)
ldechu	Pikachu (Surprised)
pikachusurprised	Pikachu (Surprised)
<:SurprisedPikachu:513867852948832266>	Pikachu (Surprised)
pikachu teary	Pikachu (Teary)
teary pikachu	Pikachu (Teary)
tearychu	Pikachu (Teary)
unovachu	Pikachu (Unova Cap)
unovacappikachu	Pikachu (Unova Cap)
unova cap pikachu	Pikachu (Unova Cap)
pikachu unova cap	Pikachu (Unova Cap)
unovacapchu	Pikachu (Unova Cap)
unova capchu	Pikachu (Unova Cap)
pikachuunovacap	Pikachu (Unova Cap)
winking pikachu	Pikachu (Winking)
winkingpikachu	Pikachu (Winking)
pikachu winking	Pikachu (Winking)
pikachuwinking	Pikachu (Winking)
wpikachu	Pikachu (Winking)
w pikachu	Pikachu (Winking)
pikachuw	Pikachu (Winking)
pikachu w	Pikachu (Winking)
winkingchu	Pikachu (Winking)
years end pikachu	Pikachu (Year's End)
yearsendpikachu	Pikachu (Year's End)
pikachu years end	Pikachu (Year's End)
pikachuyearsend	Pikachu (Year's End)
yearendchu	Pikachu (Year's End)
yearsendchu	Pikachu (Year's End)
year end pikachu	Pikachu (Year's End)
yearendpikachu	Pikachu (Year's End)
wpiplup	Piplup (Winking)
w piplup	Piplup (Winking)
piplupw	Piplup (Winking)
winking piplup	Piplup (Winking)
winkingpiplup	Piplup (Winking)
piplup winking	Piplup (Winking)
piplupwinking	Piplup (Winking)
piplup w	Piplup (Winking)
pixiepower	Pixie Power
wplusle	Plusle (Winking)
w plusle	Plusle (Winking)
winking plusle	Plusle (Winking)
winkingplusle	Plusle (Winking)
pluslew	Plusle (Winking)
plusle w	Plusle (Winking)
plusle winking	Plusle (Winking)
pluslewinking	Plusle (Winking)
ppact	Poison Pact
poisonpact	Poison Pact
poisonrush	Poison Rush
pm	Poisonous Mist
poison mist	Poisonous Mist
poisonmist	Poisonous Mist
poisonousmist	Poisonous Mist
poryz	Porygon-Z
pz	Porygon-Z
porygon z	Porygon-Z
porygonz	Porygon-Z
powerhug	Power Hug
ph	Power Hug
Po4	Power of 4
powerof4	Power of 4
power of four	Power of 4
poweroffour	Power of 4
Po4+	Power of 4+
powerof4+	Power of 4+
power of four+	Power of 4+
poweroffour+	Power of 4+
Po5	Power of 5
powerof5	Power of 5
power of five	Power of 5
poweroffive	Power of 5
Po5+	Power of 5+
powerof5+	Power of 5+
power of five+	Power of 5+
poweroffive+	Power of 5+
PGroudon	Primal Groudon
pdon	Primal Groudon
groudon (primal)	Primal Groudon
pd	Primal Groudon
primalgroudon	Primal Groudon
p groudon	Primal Groudon
p-groudon	Primal Groudon
groudonprimal	Primal Groudon
groudon primal	Primal Groudon
PG	Primal Groudon
PKyogre	Primal Kyogre
kyogre (primal)	Primal Kyogre
PK	Primal Kyogre
p kyogre	Primal Kyogre
p-kyogre	Primal Kyogre
pri	Primarina
prima	Primarina
psychiccombo	Psychic Combo
koduck	Psyduck
spooky pumpkaboo	Pumpkaboo (Spooky)
spookypumpkaboo	Pumpkaboo (Spooky)
pumpkaboo spooky	Pumpkaboo (Spooky)
s pumpkaboo	Pumpkaboo (Spooky)
pumpkaboo s	Pumpkaboo (Spooky)
sp pumpkaboo	Pumpkaboo (Spooky)
sppumpkaboo	Pumpkaboo (Spooky)
pumpkaboo sp	Pumpkaboo (Spooky)
pumpkaboosp	Pumpkaboo (Spooky)
pumpkaboospooky	Pumpkaboo (Spooky)
spumpkaboo	Pumpkaboo (Spooky)
pumpkaboos	Pumpkaboo (Spooky)
pyroarf	Pyroar (Female)
pyroar f	Pyroar (Female)
pyroar female	Pyroar (Female)
pyroarfemale	Pyroar (Female)
pyroarm	Pyroar (Male)
pyroar m	Pyroar (Male)
pyroar male	Pyroar (Male)
pyroarmale	Pyroar (Male)
araichu	Raichu (Alola Form)
raichua	Raichu (Alola Form)
a raichu	Raichu (Alola Form)
raichu a	Raichu (Alola Form)
alolan raichu	Raichu (Alola Form)
alolanraichu	Raichu (Alola Form)
raichu alola	Raichu (Alola Form)
raichualola	Raichu (Alola Form)
raichu alola form	Raichu (Alola Form)
raichualolaform	Raichu (Alola Form)
wraichu	Raichu (Winking)
w raichu	Raichu (Winking)
raichuw	Raichu (Winking)
raichu w	Raichu (Winking)
winking raichu	Raichu (Winking)
winkingraichu	Raichu (Winking)
raichu winking	Raichu (Winking)
raichuwinking	Raichu (Winking)
araticate	Raticate (Alola Form)
a raticate	Raticate (Alola Form)
raticatea	Raticate (Alola Form)
raticate a	Raticate (Alola Form)
alolan raticate	Raticate (Alola Form)
alolanraticate	Raticate (Alola Form)
raticate alola	Raticate (Alola Form)
raticatealola	Raticate (Alola Form)
raticate alola form	Raticate (Alola Form)
raticatealolaform	Raticate (Alola Form)
arattata	Rattata (Alola Form)
a rattata	Rattata (Alola Form)
rattataa	Rattata (Alola Form)
rattata a	Rattata (Alola Form)
alolan rattata	Rattata (Alola Form)
alolanrattata	Rattata (Alola Form)
rattata alola	Rattata (Alola Form)
rattataalola	Rattata (Alola Form)
rattata alola form	Rattata (Alola Form)
rattataalolaform	Rattata (Alola Form)
Ray	Rayquaza
SRay	Rayquaza (Shiny)
s-ray	Rayquaza (Shiny)
shiny rayquaza	Rayquaza (Shiny)
shinyrayquaza	Rayquaza (Shiny)
rayquaza shiny	Rayquaza (Shiny)
rayquazashiny	Rayquaza (Shiny)
shiny ray	Rayquaza (Shiny)
shinyray	Rayquaza (Shiny)
srayquaza	Rayquaza (Shiny)
s rayquaza	Rayquaza (Shiny)
rayquazas	Rayquaza (Shiny)
s ray	Rayquaza (Shiny)
rayquaza s	Rayquaza (Shiny)
<:Implying:305908034708963336>	Rayquaza (Shiny)
RT	Risk-Taker
risk taker	Risk-Taker
fucking garbage	Risk-Taker
shit taker	Risk-Taker
risktaker	Risk-Taker
RB	Rock Break
rockbreak	Rock Break
RB+	Rock Break+
rockbreak+	Rock Break+
RB++	Rock Break++
rockbreak++	Rock Break++
rockcombo	Rock Combo
rc	Rock Combo
rockshot	Rock Shot
rs	Rock Shot
Rock Shot Alpha	Rock Shot α
RSA	Rock Shot α
rockshotalpha	Rock Shot α
rockshota	Rock Shot α
rock shot a	Rock Shot α
wrose	Roserade (Winking)
roseradewinking	Roserade (Winking)
roserade winking	Roserade (Winking)
w roserade	Roserade (Winking)
roseradew	Roserade (Winking)
roserade w	Roserade (Winking)
winking roserade	Roserade (Winking)
wroserade	Roserade (Winking)
winkingroserade	Roserade (Winking)
rotom fan	Rotom (Fan Rotom)
rotomfan	Rotom (Fan Rotom)
fan rotom	Rotom (Fan Rotom)
fanrotom	Rotom (Fan Rotom)
rotom spin	Rotom (Fan Rotom)
rotomspin	Rotom (Fan Rotom)
spin rotom	Rotom (Fan Rotom)
spinrotom	Rotom (Fan Rotom)
rotoms	Rotom (Fan Rotom)
rotom s	Rotom (Fan Rotom)
srotom	Rotom (Fan Rotom)
s rotom	Rotom (Fan Rotom)
rotom frost	Rotom (Frost Rotom)
rotomfrost	Rotom (Frost Rotom)
frostrotom	Rotom (Frost Rotom)
frost rotom	Rotom (Frost Rotom)
rotom freeze	Rotom (Frost Rotom)
rotomfreeze	Rotom (Frost Rotom)
freeze rotom	Rotom (Frost Rotom)
freezerotom	Rotom (Frost Rotom)
rotomf	Rotom (Frost Rotom)
rotom f	Rotom (Frost Rotom)
frotom	Rotom (Frost Rotom)
f rotom	Rotom (Frost Rotom)
rotom h	Rotom (Heat Rotom)
rotom heat	Rotom (Heat Rotom)
rotomheat	Rotom (Heat Rotom)
heat rotom	Rotom (Heat Rotom)
heatrotom	Rotom (Heat Rotom)
rotomh	Rotom (Heat Rotom)
hrotom	Rotom (Heat Rotom)
h rotom	Rotom (Heat Rotom)
rotom m	Rotom (Mow Rotom)
rotom mow	Rotom (Mow Rotom)
rotommow	Rotom (Mow Rotom)
mow rotom	Rotom (Mow Rotom)
mowrotom	Rotom (Mow Rotom)
rotomm	Rotom (Mow Rotom)
mrotom	Rotom (Mow Rotom)
m rotom	Rotom (Mow Rotom)
rotom cut	Rotom (Mow Rotom)
rotomcut	Rotom (Mow Rotom)
cut rotom	Rotom (Mow Rotom)
cutrotom	Rotom (Mow Rotom)
rotomc	Rotom (Mow Rotom)
rotom c	Rotom (Mow Rotom)
crotom	Rotom (Mow Rotom)
c rotom	Rotom (Mow Rotom)
rotomwash	Rotom (Wash Rotom)
rotom w	Rotom (Wash Rotom)
rotom wash	Rotom (Wash Rotom)
washrotom	Rotom (Wash Rotom)
wash rotom	Rotom (Wash Rotom)
rotomw	Rotom (Wash Rotom)
wrotom	Rotom (Wash Rotom)
w rotom	Rotom (Wash Rotom)
spookysableye	Sableye (Spooky)
spooky sableye	Sableye (Spooky)
sableye spooky	Sableye (Spooky)
sp sableye	Sableye (Spooky)
spsableye	Sableye (Spooky)
sableye sp	Sableye (Spooky)
sableyesp	Sableye (Spooky)
s sableye	Sableye (Spooky)
sableye s	Sableye (Spooky)
ssableye	Sableye (Spooky)
sableyes	Sableye (Spooky)
sableyespooky	Sableye (Spooky)
Sala	Salamence
mence	Salamence
sandsport	Sand Sport
asandshrew	Sandshrew (Alola Form)
a sandshrew	Sandshrew (Alola Form)
sandshrew a	Sandshrew (Alola Form)
sandshrewa	Sandshrew (Alola Form)
sandshrew alola	Sandshrew (Alola Form)
sandshrewalola	Sandshrew (Alola Form)
alolan sandshrew	Sandshrew (Alola Form)
alolansandshrew	Sandshrew (Alola Form)
sandshrew alola form	Sandshrew (Alola Form)
sandshrewalolaform	Sandshrew (Alola Form)
aslash	Sandslash (Alola Form)
mint	Sandslash (Alola Form)
sandslash alola form	Sandslash (Alola Form)
sandslashalolaform	Sandslash (Alola Form)
sandslash alola	Sandslash (Alola Form)
sandslashalola	Sandslash (Alola Form)
asandslash	Sandslash (Alola Form)
a sandslash	Sandslash (Alola Form)
sandslasha	Sandslash (Alola Form)
sandslash a	Sandslash (Alola Form)
alolan sandslash	Sandslash (Alola Form)
alolansandslash	Sandslash (Alola Form)
sawsbuck autumn form	Sawsbuck (Autumn Form)
sawsbuck autumn	Sawsbuck (Autumn Form)
sawsbuck a	Sawsbuck (Autumn Form)
sawsbuckautumn	Sawsbuck (Autumn Form)
autumn sawsbuck	Sawsbuck (Autumn Form)
autumnsawsbuck	Sawsbuck (Autumn Form)
sawsbucka	Sawsbuck (Autumn Form)
sawsbuckspring	Sawsbuck (Spring Form)
sawsbuck spring	Sawsbuck (Spring Form)
sawsbuck spring form	Sawsbuck (Spring Form)
spring sawsbuck	Sawsbuck (Spring Form)
springsawsbuck	Sawsbuck (Spring Form)
sawsbuck summer form	Sawsbuck (Summer Form)
sawsbuck summer	Sawsbuck (Summer Form)
sawsbucksummer	Sawsbuck (Summer Form)
summer sawsbuck	Sawsbuck (Summer Form)
summersawsbuck	Sawsbuck (Summer Form)
sawsbuck w	Sawsbuck (Winter Form)
sawsbuck winter form	Sawsbuck (Winter Form)
sawsbuck winter	Sawsbuck (Winter Form)
sawsbuckwinter	Sawsbuck (Winter Form)
winter sawsbuck	Sawsbuck (Winter Form)
wintersawsbuck	Sawsbuck (Winter Form)
sawsbuckw	Sawsbuck (Winter Form)
andy	Scyther
Serp	Serperior
shadowdance	Shadow Dance
shadowshook	Shadow Shock
shadowshock	Shadow Shock
shayminland	Shaymin (Land Forme)
shaymin land	Shaymin (Land Forme)
shaymin	Shaymin (Land Forme)
landmin	Shaymin (Land Forme)
shayminl	Shaymin (Land Forme)
shaymin l	Shaymin (Land Forme)
Skymin	Shaymin (Sky Forme)
shayminsky	Shaymin (Sky Forme)
shaymin sky	Shaymin (Sky Forme)
shaymins	Shaymin (Sky Forme)
shaymin s	Shaymin (Sky Forme)
shellos east sea	Shellos (East Sea)
shellos east	Shellos (East Sea)
shelloseast	Shellos (East Sea)
shellos e	Shellos (East Sea)
eastshellos	Shellos (East Sea)
east shellos	Shellos (East Sea)
shellose	Shellos (East Sea)
eshellos	Shellos (East Sea)
e shellos	Shellos (East Sea)
shellos west sea	Shellos (West Sea)
shelloswest	Shellos (West Sea)
shellos west	Shellos (West Sea)
shellos w	Shellos (West Sea)
west shellos	Shellos (West Sea)
westshellos	Shellos (West Sea)
shellosw	Shellos (West Sea)
wshellos	Shellos (West Sea)
w shellos	Shellos (West Sea)
shockattack	Shock Attack
SO	Shot Out
60%	Shot Out
shotout	Shot Out
wshroomish	Shroomish (Winking)
w shroomish	Shroomish (Winking)
winking shroomish	Shroomish (Winking)
winkingshroomish	Shroomish (Winking)
shroomishw	Shroomish (Winking)
shroomish w	Shroomish (Winking)
shroomish winking	Shroomish (Winking)
shroomishwinking	Shroomish (Winking)
sil	Silvally
shitvally	Silvally
sp	Sinister Power
sinisterpower	Sinister Power
wskiploom	Skiploom (Winking)
w skiploom	Skiploom (Winking)
skiploomw	Skiploom (Winking)
winking skiploom	Skiploom (Winking)
winkingskiploom	Skiploom (Winking)
skiploom winking	Skiploom (Winking)
skiploomwinking	Skiploom (Winking)
skiploom w	Skiploom (Winking)
skyblast	Sky Blast
SC	Sleep Charm
sleepcharm	Sleep Charm
rip tangrowth	Sleep Combo
sleepcombo	Sleep Combo
wslurpuff	Slurpuff (Winking)
w slurpuff	Slurpuff (Winking)
slurpuffw	Slurpuff (Winking)
slurpuff w	Slurpuff (Winking)
winking slurpuff	Slurpuff (Winking)
winkingslurpuff	Slurpuff (Winking)
slurpuff winking	Slurpuff (Winking)
slurpuffwinking	Slurpuff (Winking)
wsnivy	Snivy (Winking)
w snivy	Snivy (Winking)
snivyw	Snivy (Winking)
snivy w	Snivy (Winking)
winking snivy	Snivy (Winking)
winkingsnivy	Snivy (Winking)
snivy winking	Snivy (Winking)
snivywinking	Snivy (Winking)
Kabigon	Snorlax
wsnorunt	Snorunt (Winking)
w snorunt	Snorunt (Winking)
snoruntw	Snorunt (Winking)
winking snorunt	Snorunt (Winking)
winkingsnorunt	Snorunt (Winking)
snorunt winking	Snorunt (Winking)
snoruntwinking	Snorunt (Winking)
snorunt w	Snorunt (Winking)
Lord Snover	Snover (Holiday)
holidaysnover	Snover (Holiday)
holiday snover	Snover (Holiday)
snover holiday	Snover (Holiday)
hsnover	Snover (Holiday)
snoverh	Snover (Holiday)
snoverholiday	Snover (Holiday)
h snover	Snover (Holiday)
snover h	Snover (Holiday)
wsnubbull	Snubbull (Winking)
w snubbull	Snubbull (Winking)
snubbullw	Snubbull (Winking)
winking snubbull	Snubbull (Winking)
winkingsnubbull	Snubbull (Winking)
snubbull winking	Snubbull (Winking)
snubbullwinking	Snubbull (Winking)
snubbull w	Snubbull (Winking)
spook+	Spookify+
wsquirtle	Squirtle (Winking)
w squirtle	Squirtle (Winking)
squirtlew	Squirtle (Winking)
squirtle w	Squirtle (Winking)
winking squirtle	Squirtle (Winking)
winkingsquirtle	Squirtle (Winking)
squirtle winking	Squirtle (Winking)
squirtlewinking	Squirtle (Winking)
steelyresolve	Steely Resolve
sr	Steely Resolve
superarrow	Super Arrow
superbolt	Super Bolt
supercheer	Super Cheer
supertackle	Super Tackle
supervoice	Super Voice
wswirlix	Swirlix (Winking)
w swirlix	Swirlix (Winking)
swirlixw	Swirlix (Winking)
swirlix w	Swirlix (Winking)
winking swirlix	Swirlix (Winking)
winkingswirlix	Swirlix (Winking)
swirlix winking	Swirlix (Winking)
swirlixwinking	Swirlix (Winking)
evelyn	Sylveon
tboost	T-Boost
t boost	T-Boost
bulu	Tapu Bulu
tapubulu	Tapu Bulu
fini	Tapu Fini
tapufini	Tapu Fini
koko	Tapu Koko
tapukoko	Tapu Koko
lele	Tapu Lele
tapulele	Tapu Lele
wtepig	Tepig (Winking)
w tepig	Tepig (Winking)
tepigw	Tepig (Winking)
tepig w	Tepig (Winking)
